PV;CV;SP
15.52;10;25
15.52;10;25
15.52;10;25
15.52;10;25
15.52;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.32;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.69;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.17;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.29;10;25
15.37;10;25
15.37;10;25
15.37;10;25
15.37;10;25
15.37;10;25
15.15;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.19;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.04;0;25
15.04;0;25
15.04;0;25
15.04;0;25
15.04;0;25
15.04;0;25
15.04;0;25
15.04;0;25
15.04;0;25
15.04;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.68;0;25
15.68;0;25
15.68;0;25
15.68;0;25
15.68;0;25
15.68;0;25
15.68;0;25
15.68;0;25
15.68;0;25
15.68;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.06;0;25
15.06;0;25
15.06;0;25
15.06;0;25
15.06;0;25
15.06;0;25
15.06;0;25
15.06;0;25
15.06;0;25
15.06;0;25
15.47;0;25
15.47;0;25
15.47;0;25
15.47;0;25
15.47;0;25
15.47;0;25
15.47;0;25
15.47;0;25
15.47;0;25
15.47;0;25
15.94;0;25
15.94;0;25
15.94;0;25
15.94;0;25
15.94;0;25
15.94;0;25
15.94;0;25
15.94;0;25
15.94;0;25
15.94;0;25
15.95;0;25
15.95;0;25
15.95;0;25
15.95;0;25
15.95;0;25
15.95;0;25
15.95;0;25
15.95;0;25
15.95;0;25
15.95;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.1;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.41;0;25
15.41;0;25
15.41;0;25
15.41;0;25
15.41;0;25
15.41;0;25
15.41;0;25
15.41;0;25
15.41;0;25
15.41;0;25
15.3;0;25
15.3;0;25
15.3;0;25
15.3;0;25
15.3;0;25
15.3;0;25
15.3;0;25
15.3;0;25
15.3;0;25
15.3;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.13;0;25
15.13;0;25
15.13;0;25
15.13;0;25
15.13;0;25
15.13;0;25
15.13;0;25
15.13;0;25
15.13;0;25
15.13;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.7;0;25
15.85;0;25
15.85;0;25
15.85;0;25
15.85;0;25
15.85;0;25
15.85;0;25
15.85;0;25
15.85;0;25
15.85;0;25
15.85;0;25
15.85;0;25
15.05;0;25
15.05;0;25
15.05;0;25
15.05;0;25
15.05;0;25
15.05;0;25
15.05;0;25
15.05;0;25
15.05;0;25
15.05;0;25
15.62;0;25
15.62;0;25
15.62;0;25
15.62;0;25
15.62;0;25
15.62;0;25
15.62;0;25
15.62;0;25
15.62;0;25
15.62;0;25
15.93;0;25
15.93;0;25
15.93;0;25
15.93;0;25
15.93;0;25
15.93;0;25
15.93;0;25
15.93;0;25
15.93;0;25
15.93;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.25;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.61;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.43;0;25
15.49;0;25
15.49;0;25
15.49;0;25
15.49;0;25
15.49;0;25
15.49;0;25
15.49;0;25
15.49;0;25
15.49;0;25
15.49;0;25
15.02;0;25
15.02;0;25
15.02;0;25
15.02;0;25
15.02;0;25
15.02;0;25
15.02;0;25
15.02;0;25
15.02;0;25
15.02;0;25
15.12;0;25
15.12;0;25
15.12;0;25
15.12;0;25
15.12;0;25
15.12;0;25
15.12;0;25
15.12;0;25
15.12;0;25
15.12;0;25
15.36;0;25
15.36;0;25
15.36;0;25
15.36;0;25
15.36;0;25
15.36;0;25
15.36;0;25
15.36;0;25
15.36;0;25
15.36;0;25
15.71;0;25
15.71;0;25
15.71;0;25
15.71;0;25
15.71;0;25
15.71;0;25
15.71;0;25
15.71;0;25
15.71;0;25
15.71;0;25
15.33;0;25
15.33;0;25
15.33;0;25
15.33;0;25
15.33;0;25
15.33;0;25
15.33;0;25
15.33;0;25
15.33;0;25
15.33;0;25
15.74;0;25
15.74;0;25
15.74;0;25
15.74;0;25
15.74;0;25
15.74;0;25
15.74;0;25
15.74;0;25
15.74;0;25
15.74;0;25
15.64;0;25
15.64;0;25
15.64;0;25
15.64;0;25
15.64;0;25
15.64;0;25
15.64;0;25
15.64;0;25
15.64;0;25
15.64;0;25
15.9;0;25
15.9;0;25
15.9;0;25
15.9;0;25
15.9;0;25
15.9;0;25
15.9;0;25
15.9;0;25
15.9;0;25
15.9;0;25
15.08;0;25
15.08;0;25
15.08;0;25
15.08;0;25
15.08;0;25
15.08;0;25
15.08;0;25
15.08;0;25
15.08;0;25
15.08;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.76;0;25
15.76;0;25
15.76;0;25
15.76;0;25
15.76;0;25
15.76;0;25
15.76;0;25
15.76;0;25
15.76;0;25
15.76;0;25
15.67;0;25
15.67;0;25
15.67;0;25
15.67;0;25
15.67;0;25
15.67;0;25
15.67;0;25
15.67;0;25
15.67;0;25
15.67;0;25
15.97;0;25
15.97;0;25
15.97;0;25
15.97;0;25
15.97;0;25
15.97;0;25
15.97;0;25
15.97;0;25
15.97;0;25
15.97;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.78;0;25
15.91;0;25
15.91;0;25
15.91;0;25
15.91;0;25
15.91;0;25
15.91;0;25
15.91;0;25
15.91;0;25
15.91;0;25
15.91;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.81;0;25
15.81;0;25
15.81;0;25
15.81;0;25
15.81;0;25
15.81;0;25
15.81;0;25
15.81;0;25
15.81;0;25
15.81;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.96;0;25
15.48;0;25
15.48;0;25
15.48;0;25
15.48;0;25
15.48;0;25
15.48;0;25
15.48;0;25
15.48;0;25
15.48;0;25
15.48;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.54;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.18;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.44;0;25
15.16;0;25
15.16;0;25
15.16;0;25
15.16;0;25
15.16;0;25
15.16;0;25
15.16;0;25
15.16;0;25
15.16;0;25
15.16;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.34;0;25
15.57;0;25
15.57;0;25
15.57;0;25
15.57;0;25
15.57;0;25
15.57;0;25
15.57;0;25
15.57;0;25
15.57;0;25
15.57;0;25
15.84;0;25
15.84;0;25
15.84;0;25
15.84;0;25
15.84;0;25
15.84;0;25
15.84;0;25
15.84;0;25
15.84;0;25
15.84;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.03;0;25
15.75;0;25
15.75;0;25
15.75;0;25
15.75;0;25
15.75;0;25
15.75;0;25
15.75;0;25
15.75;0;25
15.75;0;25
15.75;0;25
15.6;0;25
15.6;0;25
15.6;0;25
