PV;CV;SP
82.19;20;25
82.19;20;25
82.2;20;25
82.2;20;25
82.2;20;25
82.2;20;25
82.2;20;25
82.2;20;25
82.21;20;25
82.21;20;25
82.21;20;25
82.21;20;25
82.21;20;25
82.22;20;25
82.22;20;25
82.22;20;25
82.22;20;25
82.22;20;25
82.23;20;25
82.23;20;25
82.23;20;25
82.23;20;25
82.23;20;25
82.24;20;25
82.24;20;25
82.24;20;25
82.24;20;25
82.24;20;25
82.25;20;25
82.25;20;25
82.25;20;25
82.25;20;25
82.25;20;25
82.26;20;25
82.26;20;25
82.26;20;25
82.26;20;25
82.26;20;25
82.27;20;25
82.27;20;25
82.27;20;25
82.27;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.28;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.29;20;25
82.3;20;25
82.3;20;25
82.3;20;25
82.3;20;25
82.3;20;25
82.3;20;25
82.3;20;25
82.3;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.33;0;25
82.33;0;25
82.33;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.32;0;25
82.33;0;25
82.33;0;25
82.33;0;25
82.33;0;25
82.33;0;25
82.34;0;25
82.34;0;25
82.34;0;25
82.34;0;25
82.34;0;25
82.34;0;25
82.34;0;25
82.34;0;25
82.34;0;25
82.34;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.35;0;25
82.36;0;25
82.36;0;25
82.36;0;25
82.36;0;25
82.36;0;25
82.37;0;25
82.37;0;25
82.37;0;25
82.37;0;25
82.37;0;25
82.37;0;25
82.37;0;25
82.37;0;25
82.38;0;25
82.38;0;25
82.38;0;25
82.38;0;25
82.38;0;25
82.38;0;25
82.38;0;25
82.39;0;25
82.39;0;25
82.39;0;25
82.39;0;25
82.39;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.41;0;25
82.41;0;25
82.41;0;25
82.41;0;25
82.41;0;25
82.41;0;25
82.41;0;25
82.41;0;25
82.41;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.4;0;25
82.41;0;25
82.41;0;25
82.41;0;25
82.41;0;25
82.41;0;25
82.41;0;25
82.41;0;25
82.42;0;25
82.42;0;25
82.42;0;25
82.42;0;25
82.42;0;25
82.42;0;25
82.42;0;25
82.42;0;25
82.42;0;25
82.42;0;25
82.42;0;25
82.42;0;25
82.42;0;25
82.42;0;25
82.43;0;25
82.43;0;25
82.43;0;25
82.43;0;25
82.43;0;25
82.43;0;25
82.44;0;25
82.44;0;25
82.44;0;25
82.44;0;25
82.44;0;25
82.44;0;25
82.44;0;25
82.44;0;25
82.44;0;25
82.44;0;25
82.44;0;25
82.44;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.45;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
82.46;0;25
